date,open,high,low,close,volume,fng_value
01/02/2018,10149,10187.56,8455,8998.99,26356.59,30
02/02/2018,8998.99,9096.79,7625.25,8838.83,51005.6,15
03/02/2018,8838.83,9491.2,8170.71,9225.86,16208.37,40
04/02/2018,9225.86,9350.09,7825,8191,19110.67,24
05/02/2018,8191,8335.56,6600,6874.27,46544.43,11
06/02/2018,6874.27,8150,5920.72,7737.37,70961.37,8
07/02/2018,7737.37,8649,7213.8,7588.01,32640.89,36
08/02/2018,7588.01,8644.36,7565.5,8259.76,22746.39,30
09/02/2018,8259.76,8779.62,7753.32,8693.98,18418.12,44
10/02/2018,8693.98,9090.8,8170.86,8560,14670.56,54
11/02/2018,8560,8560,7820,8067,12711.79,31
12/02/2018,8067,8995,8067,8899,15071.04,42
13/02/2018,8899,8951.89,8360.13,8522.99,11374.52,35
14/02/2018,8522.99,9515,8504.57,9490.98,17468.74,55
15/02/2018,9490.98,10234,9350,10018,21036.34,71
16/02/2018,10018,10300,9707.51,10196,11857.64,67
17/02/2018,10196,11135.83,10053.5,11101,14511.17,74
18/02/2018,11101,11300,10153.15,10421.06,17623.08,63
19/02/2018,10421.06,11262.48,10307.51,11173,11698.26,67
20/02/2018,11173,11780,11080.37,11233.41,15880.91,74
21/02/2018,11233.41,11275.74,10256,10449.4,19959.68,54
22/02/2018,10449.4,10935,9731.2,9843.34,20204.69,44
23/02/2018,9843.34,10405.3,9600,10166.1,16044.04,39
24/02/2018,10166.1,10540.63,9373.48,9689.99,13972.71,31
25/02/2018,9689.99,9883.41,9260,9590.04,11037.18,33
26/02/2018,9590.04,10461.97,9376.34,10324.7,16156.81,37
27/02/2018,10324.7,10850,10150,10566.3,10408.48,44
28/02/2018,10572.49,11064.75,10255.07,10314.9,108211027.5,41
01/03/2018,10314.99,11090,10223.41,10903.13,103379827.7,38
02/03/2018,10917.37,11175,10774.01,11029.99,91869866.56,47
03/03/2018,11032.81,11503.24,11022.85,11445,89113831.99,56
04/03/2018,11445,11511,11054.91,11463.27,78312827.29,44
05/03/2018,11479.68,11688,11383.66,11419.24,113435033,55
06/03/2018,11417.39,11420.01,10560.19,10723.76,158008378.4,59
07/03/2018,10723.01,10911.78,9450,9913.03,258893765.4,37
08/03/2018,9904.52,10150,9078.95,9285.32,209127946.2,39
09/03/2018,9293.06,9420.39,8366,9230,267800760,37
10/03/2018,9228.83,9514.96,8697,8791.47,113292056.9,39
11/03/2018,8795.04,9768.37,8450,9535.04,156446572.9,40
12/03/2018,9535.04,9892,8742.07,9120.75,171023371,41
13/03/2018,9115.24,9482.79,8830,9142.32,146290608.1,41
14/03/2018,9152.07,9356.14,7948,8196.69,173696247.4,40
15/03/2018,8195.99,8425,7682,8265.05,151974527.5,32
16/03/2018,8265.05,8613.06,7914.08,8258.54,136254549,33
17/03/2018,8258.54,8356.4,7730.23,7860.83,94712537.88,31
18/03/2018,7860.83,8324.92,7325.37,8188.24,160058484.4,29
19/03/2018,8205.55,8718.74,8114.17,8596.93,166746813.9,29
20/03/2018,8596.79,9051,8313.01,8904.02,119802006.5,37
21/03/2018,8904.02,9188.1,8754.83,8893.79,107623727.3,36
22/03/2018,8892.18,9099.59,8503.52,8704.67,109571199.4,36
23/03/2018,8708.52,8920.79,8265,8920.79,122658943.3,28
24/03/2018,8917.99,9020,8505,8547,83179253.3,32
25/03/2018,8541.96,8680,8368.63,8453.9,77403165.71,30
26/03/2018,8451.12,8500,7831.15,8149.66,144195319.3,31
27/03/2018,8152.26,8211.62,7742.11,7791.7,96502154.64,24
28/03/2018,7791.69,8104.98,7723.03,7932.41,66930857.03,24
29/03/2018,7932.41,7968,6914.53,7088.38,156923365.5,18
30/03/2018,7086.14,7302.35,6550,6850,199344919,12
31/03/2018,6839.63,7231.73,6794.26,6928.62,80230627.76,16
01/04/2018,6926.5,7045.71,6427.16,6813.52,122963192.6,16
02/04/2018,6816.31,7106.5,6759.96,7052.76,96087933.19,11
03/04/2018,7052.75,7506.84,7001.28,7416.27,119324384.9,22
04/04/2018,7415.53,7430,6710.38,6799.95,107297787.8,22
05/04/2018,6799.37,6928.7,6578.95,6771.69,80546110.34,17
06/04/2018,6771.3,6850,6510,6618.33,56112968.66,19
07/04/2018,6627.7,7069.13,6600.99,6904.9,53050634.31,20
08/04/2018,6904.21,7104.52,6894.8,7027.26,30587540.14,17
09/04/2018,7027.26,7175.83,6611.49,6780.1,68505562.34,21
10/04/2018,6782.39,6900,6653.21,6835.67,44296459.27,18
11/04/2018,6824.75,6984.92,6809.26,6940.94,40433825.77,20
12/04/2018,6940.94,8069.34,6758.45,7923.78,150816318.4,18
13/04/2018,7923.78,8239.33,7753.32,7896.92,154826561.4,23
14/04/2018,7885.9,8232.14,7835,8000.41,71487909.29,23
15/04/2018,8003.39,8417,8001.23,8354.22,63014551.6,24
16/04/2018,8353.43,8424.99,7905,8048.15,87456050.59,23
17/04/2018,8054.68,8160.85,7806.81,7890.87,73204794.21,26
18/04/2018,7890.87,8235,7870.35,8172.84,75412466.83,24
19/04/2018,8172.83,8297.99,8074.44,8271.31,78055081.4,25
20/04/2018,8273,8934,8216.9,8861,142304316.5,26
21/04/2018,8865.78,9023.4,8608,8920.71,136810755.5,32
22/04/2018,8924.93,9036.52,8760,8789.96,82154937.11,31
23/04/2018,8781.7,9006.39,8771.22,8946.95,92029380.89,28
24/04/2018,8942,9737.16,8930,9648,197402990.7,29
25/04/2018,9648.36,9755.53,8751,8864.99,292862959,64
26/04/2018,8855.07,9326.79,8647.29,9274.48,185888121.6,47
27/04/2018,9277.32,9387.82,8901.09,8921.43,101485855.2,55
28/04/2018,8916.54,9442.34,8854.47,9345.11,145394980.9,54
29/04/2018,9352.97,9538.75,9180,9393.99,102776995.8,61
30/04/2018,9396.32,9443.96,9111,9242.17,74729305.79,59
01/05/2018,9243.51,9249.99,8815.91,9066.9,110056425.5,56
02/05/2018,9066.9,9259.16,8975.23,9222,97524263.65,52
03/05/2018,9220,9799.99,9165.19,9732.43,113585239.9,55
04/05/2018,9737,9784.73,9527.38,9696.57,71037576.73,56
05/05/2018,9689,9948.98,9670.68,9823.28,72722773.52,63
06/05/2018,9827.04,9918.41,9375,9623.54,78485520.1,67
07/05/2018,9621.99,9634.5,9175,9359.52,127442487,56
08/05/2018,9356.79,9450,9015,9167.69,104679531.3,62
09/05/2018,9181.52,9368.79,8974.62,9308.49,105826680.6,53
10/05/2018,9308.49,9393,8987.74,9020.99,106131744.4,63
11/05/2018,9007.19,9018.38,8351,8411.42,171457768,41
12/05/2018,8408.79,8652.8,8208.81,8481.6,131167345.2,44
13/05/2018,8481.72,8775.9,8335.56,8696.58,85532816.76,40
14/05/2018,8696.54,8900.9,8286.57,8674.36,163615232.7,40
15/05/2018,8674.53,8865,8400,8474.99,105020652.2,40
16/05/2018,8481.99,8505.33,8100.01,8346.59,106044454.4,32
17/05/2018,8337.77,8500,7980,8067.03,66626605.31,31
18/05/2018,8058.16,8275.1,7929.53,8248.87,59236817.28,37
19/05/2018,8248.99,8395,8141.08,8231.2,31147484.45,31
20/05/2018,8225.55,8590,8170.71,8518.48,45275711.83,32
21/05/2018,8518.64,8589.1,8320,8391.76,51416070.61,41
22/05/2018,8403.23,8417.65,7951.41,7984.08,72663597.41,30
23/05/2018,7983.98,8032.01,7435.49,7502.89,132320227.5,26
24/05/2018,7509.99,7733.99,7267.24,7586.88,88374749.3,27
25/05/2018,7579.3,7661.07,7328.13,7471.18,75375564.37,25
26/05/2018,7459.21,7622.87,7276.04,7335.99,29663498.49,23
27/05/2018,7335.99,7412.57,7213.09,7347.39,23103508.63,19
28/05/2018,7348.64,7445,7084.99,7112.5,46826086.37,22
29/05/2018,7112.2,7537,7026.9,7469.45,82536832.36,16
30/05/2018,7469.45,7559,7273.89,7375.73,65942374.82,38
31/05/2018,7375.64,7601.23,7330.22,7492.28,54985897.38,25
01/06/2018,7492.28,7620.01,7348.45,7511.6,50798153.28,24
02/06/2018,7511.72,7700,7438.92,7642,30660993.63,27
03/06/2018,7642,7790.69,7581.03,7703.67,36432273.85,40
04/06/2018,7712.97,7764.44,7449.68,7488.26,52347066.07,41
05/06/2018,7494.99,7685,7360,7617.98,75939491.5,26
06/06/2018,7617.98,7695.46,7482.61,7658.57,54054614.2,42
07/06/2018,7658.99,7750,7618.99,7689.28,58015688.73,38
08/06/2018,7676.41,7697,7542,7618.11,35626535.76,40
09/06/2018,7618.11,7686.45,7468.31,7492.7,20333547.24,39
10/06/2018,7498,7498,6627.7,6781.17,97599314.31,24
11/06/2018,6781.17,6919.97,6634.86,6880.61,78504486.53,15
12/06/2018,6880.76,6880.76,6461.42,6557.67,57888484.41,19
13/06/2018,6557.66,6624.45,6120,6307.4,121042188.6,19
14/06/2018,6308.49,6708.1,6270.69,6646.1,94280499.34,17
